Anzeigen;ID;Einrichtung;Prio;Schlagworte;Zielgruppe;Träger;Kategorie;Beratungsmöglichkeiten;Sprachen;Barrierefreiheit;Über uns;Strasse;Hausnummer;Zusatz;PLZ;Bezirk;Stadtteil;Telefonnummer;EMail;Website;24 h/7 Tage;Montag;Dienstag;Mittwoch;Donnerstag;Freitag;Samstag;Sonntag;Art der Anmeldung;Weitere Öffnungszeiten;lat;long
1;180;[U25] Online Suizidprävention - Reines Onlineangebot;hoch;Traurigkeit & Verzweiflung, Einsamkeit, Kinder & Jugendliche;Kinder & Jugendliche;Caritas für das Erzbistum Berlin;IGPP Handlungsfeld Besondere Bedarfslagen;Online Chat;Deutsch;Rollstuhlrechter Zugang, Rollstuhlgerechte Einrichtung;Kostenfreie und anonyme Mailberatung für Jugendliche bis 25 Jahre, die verzweifelt sind und Suizidgedanken haben. Beratung nur online!;Große Hamburger Straße;18;0;10115;Mitte;Mitte;030 66633488;u25@caritas-berlin.de;https://www.u25-berlin.de;ja;24 Stunden geöffnet;24 Stunden geöffnet;24 Stunden geöffnet;24 Stunden geöffnet;24 Stunden geöffnet;24 Stunden geöffnet;24 Stunden geöffnet;Bitte Termin vereinbaren: Online;;52.52459;13.39908
0;Sen092;ABO-Prolog;niedrig;Alkohol, Drogen, Medikamente, Kiffen, Glücksspiel, Gaming;0;vista - Verbund für integrative soziale und therapeutische Arbeit - gGmbH;IGPP Handlungsfeld Drogen/Sucht;0;Deutsch, Englisch, Arabisch, Französisch;0;0;Muskauer Straße;24;0;10997;Friedrichshain-Kreuzberg;0;030 325136-10;abo-36@vistaberlin.de;https://vistaberlin.de/einrichtungen/abo-prolog/;nein;10:00 - 15:00;10:00 - 15:00;10:00 - 15:00;10:00 - 15:00;Geschlossen;Geschlossen;Geschlossen;Termine können vereinbart werden: telefonisch, per Mail;;52.50309;13.42726
0;252;Abteilung für Kinder- und Jugendpsychiatrie, Psychotherapie und Psychosomatik;niedrig;Angst & Zwänge, Traurigkeit & Verzweiflung, Einsamkeit, Beziehung zu anderen Menschen, Stimmen hören, Essverhalten, Glücksspiel, Gaming, Alkohol, Drogen, Medikamente, Kiffen, Sexuell übertragbare Infektionen, Körperliche Erkrankungen, Schwangerschaft & Geburt, Kinder & Jugendliche;Kinder & Jugendliche;DRK Westend;Klinik;Vor Ort in der Einrichtung, Telefonberatung, Online Chat;Deutsch, Englisch, Französisch, Polnisch, Russisch;Rollstuhlrechter Zugang;Regionaler Versorger der Kinder- und Jugendpsychiatrie für die Bezirke Charlottenburg, Wilmersdorf und Spandau;Spandauer Damm;130;0;14050;Charlottenburg-Wilmersdorf;Westend;030 30354515;kinder-jugendpsychiatrie@drk-kliniken-berlin.de;https://www.drk-kliniken-berlin.de/kinder-jugendpsychiatrie-westend;nein;08:00 - 16:00;08:00 - 16:00;08:00 - 16:00;08:00 - 16:00;08:00 - 16:00;Geschlossen;Geschlossen;Termine können vereinbart werden: vor Ort, telefonisch, per Mail;Im Notfall Rettungsstelle 24 Stunden geöffnet.;52.51928;13.27615
1;258;Afrikaherz;hoch;Sexuell übertragbare Infektionen, Menschen mit Migrationshintergrund;Menschen mit Migrationshintergrund;Verband für Interkulturelle Arbeit Berlin/Brandenburg e.V.;IGPP Handlungsfeld Sexuell übertragbare Infektionen;Vor Ort in der Einrichtung, Telefonberatung;Deutsch, Englisch, Französisch;Keine Angabe;Migration und Gesundheit: Beratung, Begleitung und Betreuung von Menschen aus Sub- Sahara Afrika;Elsenstr;75;0;12059;Neukölln;Neukölln;030 35050013;afrikaherz@via-in-berlin.de;0;nein;10:30 - 17:00;10:30 - 17:00;10:30 - 17:00;10:30 - 17:00;10:30 - 17:00;Geschlossen;Geschlossen;Termine können vereinbart werden: vor Ort, telefonisch, per Mail, Online;;52.48544;13.44962
0;174;AJB Zuverdienst Friedrichshain-Kreuzberg;mittel;Angst & Zwänge, Traurigkeit & Verzweiflung, Einsamkeit, Beziehung zu anderen Menschen, Stimmen hören;0;AJB;Psychiatrischer Zuverdienst;Vor Ort in der Einrichtung, Telefonberatung;Deutsch, Englisch;Keine Angabe;"Hier können Sie wieder erste angeleitete Schitte in eine sinnvolle Arbeit und Beschäftigung für 2-15 Std. wöchentlich finden: 
In Ihrer Nähe, nach Ihren Möglichkeiten, unkompliziert, kreativ und bodenständig.
In der Wäscherei am Moritzplatz, in der Büroreinigung Hobrechtstrasse, in der Bibliothek im Urban KKH, im Schreib- und Malatelier Funkenflug, und im veganen Catering DELI. Wir freuen uns auf Sie!";Oranienstraße;52;0;10969;Friedrichshain-Kreuzberg;Kreuzberg;030 3156387-1;zuverdienst_zentralefk@ajb-berlin.de;https://www.ajb-berlin.de;nein;09:00 - 17:00;09:00 - 17:00;09:00 - 17:00;09:00 - 17:00;Geschlossen;Geschlossen;Geschlossen;Bitte Termin vereinbaren: telefonisch, per Mail;;52.50323;13.4126
0;431;Alexianer Krankenhaus Hedwigshöhe;niedrig;Angst & Zwänge, Traurigkeit & Verzweiflung, Einsamkeit, Beziehung zu anderen Menschen, Stimmen hören, Essverhalten, Glücksspiel, Gaming, Alkohol, Drogen, Medikamente, Kiffen, Sexuell übertragbare Infektionen, Körperliche Erkrankungen, Schwangerschaft & Geburt;0;Alexianer St. Hedwig Kliniken Berlin GmbH;Klinik;Vor Ort in der Einrichtung;Deutsch, Englisch;Rollstuhlrechter Zugang;Wir behandeln Erwachsene mit Abhängigkeit und Missbrauch von Alkohol, Medikamenten und illegalen Drogen. Außerdem versorgen wir Patienten mit Abhängigkeitserkrankungen und weiteren psychischen Erkrankungen (Doppeldiagnosen), wie zum Beispiel Schizophrenien oder Depression.;Höhensteig;1;0;12526;Treptow-Köpenick;Bohnsdorf;030 67413500;psychiatrie-khh@alexianer.de;https://www.alexianer-berlin-hedwigkliniken.de/krankenhaus-hedwigshoehe/leistungen/kliniken/psychiatrie-psychotherapie-und-psychosomatik/leistungsangebote/abhaengigkeitserkrankungen-und-doppeldiagnosen;ja;24 Stunden geöffnet;24 Stunden geöffnet;24 Stunden geöffnet;24 Stunden geöffnet;24 Stunden geöffnet;24 Stunden geöffnet;24 Stunden geöffnet;Termine können vereinbart werden: vor Ort, telefonisch;;52.4059;13.56928
1;407;Alkohol- und Medikamentenberatung Charlottenburg;mittel;Alkohol, Medikamente, Angehörige;Angehörige;vista gGmbH;Alkohol- und Medikamentenberatungsstelle;Vor Ort in der Einrichtung, Telefonberatung;Deutsch, Englisch, Russisch, Türkisch, Weitere Sprachen, Ukrainisch;Rollstuhlrechter Zugang;"Information und Beratung: Wirkung und Risiken von psychoaktiven Substanzen, Wege zu mehr Konsumkompetenz (Programme wie Kontrolliertes Trinken und Rauchfrei), Angebote der Selbsthilfe und Gruppen, Entzugsmöglichkeiten und Therapieformen, Angebote für Angehörige.
Vermittlung in weiterführende Angebote, ambulante Therapie und Nachsorge.";Kaiser-Friedrich-Straße;81;0;10585;Charlottenburg-Wilmersdorf;Charlottenburg;030 34800948;charlottenburg@vistaberlin.de;https://vistaberlin.de/einrichtungen/alkohol-und-medikamentenberatung-charlottenburg/;nein;10:00 - 16:00;10:00 - 16:00;10:00 - 16:00;10:00 - 16:00;10:00 - 14:00;Geschlossen;Geschlossen;Termine können vereinbart werden: vor Ort, telefonisch, per Mail;;52.51235;13.30165
1;425;Alkohol- und Medikamentenberatung Spandau;mittel;Alkohol, Medikamente, Angehörige;Angehörige;vista gGmbH;Alkohol- und Medikamentenberatungsstelle;Vor Ort in der Einrichtung, Außerhalb der Einrichtung (z.B. Wohnung, Straße), Telefonberatung;Deutsch, Englisch, Italienisch;0;Information und Beratung: Wirkung und Risiken von psychoaktiven Substanzen, Wege zu mehr Konsumkompetenz (Programme wie Kontrolliertes Trinken), Angebote der Selbsthilfe und Gruppen, Entzugsmöglichkeiten und Therapieformen, Angebote für Angehörige. Vermittlung in weiterführende Angebote, ambulante Therapie und Nachsorge.;Carl-Schurz-Straße;31;0;13597;Spandau;Spandau;030 355308770;spandau@vistaberlin.de;https://vistaberlin.de/einrichtungen/alkohol-und-medikamentenberatung-spandau/;nein;09:00 - 16:00;09:00 - 16:00;09:00 - 16:00;09:00 - 16:00;09:00 - 14:00;Geschlossen;Geschlossen;Termine können vereinbart werden: vor Ort, telefonisch, per Mail;;52.53708;13.20282
1;135;Alkohol- und Medikamentenberatungsstelle Tempelhof-Schöneberg;mittel;Alkohol, Drogen, Medikamente, Kiffen, Angehörige, Kinder & Jugendliche;Angehörige, Kinder & Jugendliche;Notdienst Berlin e.V.;Alkohol- und Medikamentenberatungsstelle;Vor Ort in der Einrichtung, Außerhalb der Einrichtung (z.B. Wohnung, Straße), Telefonberatung, Videoberatung, Online Chat;Deutsch, Englisch, Weitere Sprachen mit Sprachmittlung;Rollstuhlgerechter Zugang, Rollstuhlgerechte Einrichtung;Wir sind die regionale Anlaufstelle für Menschen aus Tempelhof-Schöneberg, die mit Alkohol, Medikamenten oder illegalisierten Substanzen Probleme haben. Wir beraten Betroffene, Angehörige sowie Jugendliche und deren Eltern. Unser Angebot umfasst Einzelgespräche und Gruppenangebote, Vermittlung in weiterführende Hilfen, Hilfe in Krisensituationen, Aufsuchende Arbeit in Einrichtungen für Geflüchtete. Unsere Beratung ist kostenlos und anonym.;Tempelhofer Damm;129;2. Etage;12099;Tempelhof-Schöneberg;Tempelhof;030 233 240 260;amb@notdienstberlin.de;https://drogennotdienst.de/angebote/beratung-und-reha/alkohol-und-medikamentenberatungsstelle/;nein;13:00 - 17:00;09:00 - 16:00;09:00 - 17:00;10:00 - 18:00;Geschlossen;Geschlossen;Geschlossen;Bitte Termin vereinbaren: vor Ort, telefonisch, per Mail;"Sprechstunden ohne Termin: (für Betroffene und Angehörige, sowie Jugendliche und Eltern)
Mo 15:00 - 17:00 Uhr;
Di 10:00 - 12:00 Uhr;
Mi 15:00 - 17:00 Uhr;
Do 16:00 - 18:00 Uhr;

Öffnungszeit Freitag: nach Vereinbarung";52.46801;13.386
1;255;Alzheimer Gesellschaft Berlin e.V. Selbsthilfe Demenz;mittel;Traurigkeit & Verzweiflung, Beziehung zu anderen Menschen, Medikamente, Gewalterfahrung, Angehörige;Angehörige;Alzheimer Gesellschaft Berlin e.V. Selbsthilfe Demenz;Kontakt- und Beratungsstelle;Vor Ort in der Einrichtung, Außerhalb der Einrichtung (z.B. Wohnung, Straße), Telefonberatung, Rückrufservice, Videoberatung;Deutsch, Englisch, Holländisch;Rollstuhlrechter Zugang;Die Alzheimer Gesellschaft Berlin e.V. berät und informiert Menschen mit Demenz, deren An- und Zugehörige sowie Fachleute rund um das Thema Demenz, z. B. über das Krankheitsbild Demenz, Diagnostik und Therapie, den Umgang mit dem/der Erkrankten, Möglichkeiten der Entlastung, Hilfsangebote und die Bewältigung von Belastungs- und Notsituationen.;Friedrichstraße;236;3. OG;10969;Friedrichshain-Kreuzberg;Kreuzberg;030 89094357;info@alzheimer-berlin.de;https://www.alzheimer-berlin.de;nein;Geschlossen;14:00 - 18:00;10:00 - 15:00;10:00 - 15:00;Geschlossen;Geschlossen;Geschlossen;Bitte Termin vereinbaren: telefonisch, per Mail;Persönliche Beratungsgespräche nach vorheriger Terminabsprache.;52.50222;13.39102
